Index,Sentence,POS Tagged Tokens,Lemmas
16,"(Superheroes, specific book series, video games, animals, crafts?)","([(] Superheroes[NNP] ,[,] specific[JJ] book[NN] series[NN] ,[,] video[JJ] games[NNS] ,[,] animals[NNS] ,[,] crafts[NNS] ?[.] )[)]","( superheroes , specific book series , video game , animal , craft ? )"
17,What do they play with when you visit?,What[WP] do[VBP] they[PRP] play[VB] with[IN] when[WRB] you[PRP] visit[VBP] ?[.],what do they play with when you visit ?
18,What shows/movies/YouTube channels do they watch?,What[WP] shows/movies/YouTube[NN] channels[NNS] do[VBP] they[PRP] watch[VB] ?[.],what shows/movies/youtube channel do they watch ?
19,"Do they have any specific hobbies (sports, music, art, coding)?","Do[VBP] they[PRP] have[VB] any[DT] specific[JJ] hobbies[NNS] ([(] sports[NNS] ,[,] music[NN] ,[,] art[NN] ,[,] coding[VBG] )[)] ?[.]","do they have any specific hobby ( sport , music , art , cod ) ?"
20,3.,3[CD] .[.],3 .
21,"Set a Budget: Decide what you're comfortable spending per child, or per family.","Set[VB] a[DT] Budget[NN] :[:] Decide[VB] what[WP] you[PRP] 're[VBP] comfortable[JJ] spending[NN] per[IN] child[NN] ,[,] or[CC] per[IN] family[NN] .[.]","set a budget : decide what you 're comfortable spending per child , or per family ."
22,This will help narrow down options.,This[DT] will[MD] help[VB] narrow[VB] down[RP] options[NNS] .[.],this will help narrow down option .
23,4.,4[CD] .[.],4 .
24,"Consider Practical vs. Fun:
Practical: Clothes (always appreciated by parents!",Consider[VB] Practical[NNP] vs.[FW] Fun[NNP] :[:] Practical[JJ] :[:] Clothes[NNS] ([(] always[RB] appreciated[VBN] by[IN] parents[NNS] ![.],consider practical vs. fun : practical : clothes ( always appreciate by parent !
25,"), books, educational toys, supplies for a hobby, bedding/room decor.",")[)] ,[,] books[NNS] ,[,] educational[JJ] toys[NNS] ,[,] supplies[NNS] for[IN] a[DT] hobby[NN] ,[,] bedding/room[NN] decor[NN] .[.]",") , book , educational toy , supply for a hobby , bedding/room decor ."
26,"Fun: Toys, games, experiences, tech gadgets.","Fun[NN] :[:] Toys[NNP] ,[,] games[NNS] ,[,] experiences[NNS] ,[,] tech[JJ] gadgets[NNS] .[.]","fun : toy , game , experience , tech gadget ."
27,"Best Scenario: A gift that is both fun and practical (e.g., a really cool book series, a bike, a stylish but comfortable sweater).","Best[JJS] Scenario[NN] :[:] A[DT] gift[NN] that[WDT] is[VBZ] both[DT] fun[NN] and[CC] practical[JJ] ([(] e.g.[JJ] ,[,] a[DT] really[RB] cool[JJ] book[NN] series[NN] ,[,] a[DT] bike[NN] ,[,] a[DT] stylish[JJ] but[CC] comfortable[JJ] sweater[NN] )[)] .[.]","best scenario : a gift that be both fun and practical ( e.g. , a really cool book series , a bike , a stylish but comfortable sweater ) ."
28,5.,5[CD] .[.],5 .
29,Experiences Over Things: Especially for older kids or families trying to reduce clutter.,Experiences[NNS] Over[IN] Things[NNS] :[:] Especially[RB] for[IN] older[JJR] kids[NNS] or[CC] families[NNS] trying[VBG] to[TO] reduce[VB] clutter[NN] .[.],experience over thing : especially for old kid or family try to reduce clutter .
30,"Tickets to a movie, concert, sporting event, museum, zoo, or theme park.","Tickets[NNS] to[TO] a[DT] movie[NN] ,[,] concert[NN] ,[,] sporting[VBG] event[NN] ,[,] museum[NN] ,[,] zoo[NN] ,[,] or[CC] theme[NN] park[NN] .[.]","ticket to a movie , concert , sport event , museum , zoo , or theme park ."
31,"A gift certificate for an activity like bowling, mini-golf, rock climbing, or an escape room.","A[DT] gift[NN] certificate[NN] for[IN] an[DT] activity[NN] like[IN] bowling[NN] ,[,] mini-golf[NN] ,[,] rock[NN] climbing[NN] ,[,] or[CC] an[DT] escape[NN] room[NN] .[.]","a gift certificate for an activity like bowling , mini-golf , rock climbing , or an escape room ."
32,"A cooking class, art workshop, or music lesson.","A[DT] cooking[JJ] class[NN] ,[,] art[NN] workshop[NN] ,[,] or[CC] music[NN] lesson[NN] .[.]","a cooking class , art workshop , or music lesson ."
33,"A ""date"" with you (you pay for dinner and an activity).",A[DT] ``[``] date[NN] ''[''] with[IN] you[PRP] ([(] you[PRP] pay[VBP] for[IN] dinner[NN] and[CC] an[DT] activity[NN] )[)] .[.],a `` date '' with you ( you pay for dinner and an activity ) .
34,6.,6[CD] .[.],6 .
35,"Consumables:
Specialty snacks or candy (especially for teens).",Consumables[NNS] :[:] Specialty[NN] snacks[NNS] or[CC] candy[NN] ([(] especially[RB] for[IN] teens[NNS] )[)] .[.],consumables : specialty snack or candy ( especially for teen ) .
36,High-quality art supplies (if they're creative).,High-quality[NNP] art[NN] supplies[NNS] ([(] if[IN] they[PRP] 're[VBP] creative[JJ] )[)] .[.],high-quality art supply ( if they 're creative ) .
37,"Bath bombs, nice soaps (for older kids).","Bath[NNP] bombs[NN] ,[,] nice[JJ] soaps[NNS] ([(] for[IN] older[JJR] kids[NNS] )[)] .[.]","bath bomb , nice soap ( for old kid ) ."
38,Magazines or subscription boxes tailored to their interests.,Magazines[NNS] or[CC] subscription[NN] boxes[NNS] tailored[VBD] to[TO] their[PRP$] interests[NNS] .[.],magazine or subscription box tailor to their interest .
39,7.,7[CD] .[.],7 .
40,"Quality Over Quantity: One thoughtful, well-chosen gift is often better than several mediocre ones.","Quality[NN] Over[IN] Quantity[NN] :[:] One[CD] thoughtful[NN] ,[,] well-chosen[JJ] gift[NN] is[VBZ] often[RB] better[JJR] than[IN] several[JJ] mediocre[JJ] ones[NNS] .[.]","quality over quantity : one thoughtful , well-chosen gift be often good than several mediocre one ."
41,8.,8[CD] .[.],8 .
42,"Group Gifts: If you have many nieces and nephews, or if there's a big-ticket item the whole family could enjoy, consider pooling resources with other family members.","Group[NNP] Gifts[NNP] :[:] If[IN] you[PRP] have[VBP] many[JJ] nieces[NNS] and[CC] nephews[NNS] ,[,] or[CC] if[IN] there[EX] 's[VBZ] a[DT] big-ticket[JJ] item[NN] the[DT] whole[JJ] family[NN] could[MD] enjoy[VB] ,[,] consider[VB] pooling[VBG] resources[NNS] with[IN] other[JJ] family[NN] members[NNS] .[.]","group gift : if you have many niece and nephew , or if there 's a big-ticket item the whole family could enjoy , consider pool resource with other family member ."
43,9.,9[CD] .[.],9 .
44,"Gift Receipts: Always include one, just in case!","Gift[NN] Receipts[NNS] :[:] Always[NNP] include[VBP] one[CD] ,[,] just[RB] in[IN] case[NN] ![.]","gift receipt : always include one , just in case !"
45,II.,II[NNP] .[.],ii .
46,"Age-Specific Ideas:
A.",Age-Specific[JJ] Ideas[NNS] :[:] A[DT] .[.],age-specific idea : a .
47,"Babies (0-12 months):
Focus: Sensory stimulation, developmental milestones, practical help for parents.","Babies[NNS] ([(] 0-12[JJ] months[NNS] )[)] :[:] Focus[NN] :[:] Sensory[JJ] stimulation[NN] ,[,] developmental[JJ] milestones[NNS] ,[,] practical[JJ] help[NN] for[IN] parents[NNS] .[.]","baby ( 0-12 month ) : focus : sensory stimulation , developmental milestone , practical help for parent ."
48,"Ideas:
Board Books: Durable, colorful, and never too early to start reading!","Ideas[NNS] :[:] Board[NNP] Books[VBZ] :[:] Durable[JJ] ,[,] colorful[JJ] ,[,] and[CC] never[RB] too[RB] early[JJ] to[TO] start[VB] reading[NN] ![.]","idea : board book : durable , colorful , and never too early to start reading !"
49,"Soft Toys: Rattles, crinkly toys, soft blocks.","Soft[JJ] Toys[NNS] :[:] Rattles[NNP] ,[,] crinkly[JJ] toys[NN] ,[,] soft[JJ] blocks[NNS] .[.]","soft toy : rattle , crinkly toy , soft block ."
50,"Sensory Play Mats: With different textures, mirrors, and dangling toys.","Sensory[JJ] Play[NNP] Mats[NNPS] :[:] With[IN] different[JJ] textures[NNS] ,[,] mirrors[NNS] ,[,] and[CC] dangling[VBG] toys[NNS] .[.]","sensory play mat : with different texture , mirror , and dangle toy ."
51,Teething Toys: Safe and soothing.,Teething[VBG] Toys[NNP] :[:] Safe[JJ] and[CC] soothing[NN] .[.],teethe toy : safe and soothing .
52,"Clothes: Always useful, but size up!","Clothes[NNS] :[:] Always[NNP] useful[JJ] ,[,] but[CC] size[NN] up[RP] ![.]","clothes : always useful , but size up !"
53,"(e.g., buy 6-12 months for a 3-month-old).","([(] e.g.[NN] ,[,] buy[VB] 6-12[JJ] months[NNS] for[IN] a[DT] 3-month-old[JJ] )[)] .[.]","( e.g. , buy 6-12 month for a 3-month-old ) ."
54,Practical Gifts (Ask Parents First!,Practical[JJ] Gifts[NNP] ([(] Ask[NNP] Parents[NNP] First[NNP] ![.],practical gift ( ask parent first !
55,): Diapers (often welcome!,)[)] :[:] Diapers[NNS] ([(] often[RB] welcome[VBZ] ![.],) : diaper ( often welcome !
56,"), wipes, baby-safe lotion, baby food subscription.",")[)] ,[,] wipes[NNS] ,[,] baby-safe[JJ] lotion[NN] ,[,] baby[NN] food[NN] subscription[NN] .[.]",") , wipe , baby-safe lotion , baby food subscription ."
57,"Memory Gifts: A personalized ornament, a framed photo session certificate.","Memory[NN] Gifts[NNS] :[:] A[DT] personalized[JJ] ornament[NN] ,[,] a[DT] framed[JJ] photo[NN] session[NN] certificate[NN] .[.]","memory gift : a personalized ornament , a framed photo session certificate ."
58,B.,B[NNP] .[.],b .
59,"Toddlers (1-3 years):
Focus: Exploration, gross motor skills, imaginative play, safety.","Toddlers[NNS] ([(] 1-3[CD] years[NNS] )[)] :[:] Focus[NN] :[:] Exploration[NN] ,[,] gross[JJ] motor[NN] skills[NNS] ,[,] imaginative[JJ] play[NN] ,[,] safety[NN] .[.]","toddler ( 1-3 year ) : focus : exploration , gross motor skill , imaginative play , safety ."
60,"Ideas:
Building Blocks: Large blocks like Duplo, wooden blocks.","Ideas[NNS] :[:] Building[NN] Blocks[NNS] :[:] Large[NN] blocks[NNS] like[IN] Duplo[NNP] ,[,] wooden[NN] blocks[NNS] .[.]","idea : building block : large block like duplo , wooden block ."
61,"Push-and-Pull Toys: Wagons, toy animals on a string.","Push-and-Pull[JJ] Toys[NNP] :[:] Wagons[NNS] ,[,] toy[NN] animals[NNS] on[IN] a[DT] string[NN] .[.]","push-and-pull toy : wagon , toy animal on a string ."
62,"Simple Puzzles: Chunky wooden puzzles, shape sorters.","Simple[JJ] Puzzles[NNS] :[:] Chunky[NNP] wooden[NN] puzzles[NNS] ,[,] shape[NN] sorters[NNS] .[.]","simple puzzle : chunky wooden puzzle , shape sorter ."
63,"Musical Instruments: Toy piano, drum, shakers.","Musical[JJ] Instruments[NNS] :[:] Toy[NNP] piano[NN] ,[,] drum[NN] ,[,] shakers[NNS] .[.]","musical instrument : toy piano , drum , shaker ."
64,Sturdy Picture Books: Engaging stories with bright illustrations.,Sturdy[JJ] Picture[NNP] Books[NNP] :[:] Engaging[NN] stories[NNS] with[IN] bright[JJ] illustrations[NNS] .[.],sturdy picture book : engage story with bright illustration .
65,"Art Supplies: Chunky crayons, washable paints, large paper.","Art[NN] Supplies[NNS] :[:] Chunky[NNP] crayons[NNS] ,[,] washable[JJ] paints[NNS] ,[,] large[JJ] paper[NN] .[.]","art supply : chunky crayon , washable paint , large paper ."
66,"Outdoor Toys: Small slide, sandbox, water table (if they have space).","Outdoor[NNP] Toys[NNP] :[:] Small[JJ] slide[NN] ,[,] sandbox[NN] ,[,] water[NN] table[NN] ([(] if[IN] they[PRP] have[VBP] space[NN] )[)] .[.]","outdoor toy : small slide , sandbox , water table ( if they have space ) ."
67,"Dress-Up Clothes: Simple hats, animal ears, capes.","Dress-Up[JJ] Clothes[NNS] :[:] Simple[JJ] hats[NNS] ,[,] animal[JJ] ears[NNS] ,[,] capes[NNS] .[.]","dress-up clothes : simple hat , animal ear , cape ."
68,"C. Preschoolers (3-5 years):
Focus: Imagination, role-playing, fine motor skills, learning through play.","C.[NNP] Preschoolers[NNP] ([(] 3-5[CD] years[NNS] )[)] :[:] Focus[NN] :[:] Imagination[NN] ,[,] role-playing[NN] ,[,] fine[JJ] motor[NN] skills[NNS] ,[,] learning[VBG] through[IN] play[NN] .[.]","c. preschooler ( 3-5 year ) : focus : imagination , role-playing , fine motor skill , learn through play ."
69,"Ideas:
Dress-Up Clothes: More elaborate costumes (superheroes, princesses, doctors).","Ideas[NNS] :[:] Dress-Up[JJ] Clothes[NNS] :[:] More[JJR] elaborate[JJ] costumes[NNS] ([(] superheroes[NNS] ,[,] princesses[NNS] ,[,] doctors[NNS] )[)] .[.]","idea : dress-up clothes : more elaborate costume ( superheroes , princess , doctor ) ."
70,Play-Doh/Kinetic Sand: With tools and molds.,Play-Doh/Kinetic[JJ] Sand[NN] :[:] With[IN] tools[NNS] and[CC] molds[NNS] .[.],play-doh/kinetic sand : with tool and mold .
71,"Art Easel & Supplies: With chalk, dry-erase markers, paints.","Art[NNP] Easel[NNP] &[CC] Supplies[NNS] :[:] With[IN] chalk[NN] ,[,] dry-erase[JJ] markers[NNS] ,[,] paints[NNS] .[.]","art easel & supply : with chalk , dry-erase marker , paint ."
72,"Picture Books/Early Readers: Engaging stories, popular characters.","Picture[NN] Books/Early[NNP] Readers[NNS] :[:] Engaging[NNP] stories[NNS] ,[,] popular[JJ] characters[NNS] .[.]","picture books/early reader : engage story , popular character ."
73,"Simple Board Games: Candy Land, Chutes and Ladders, matching games.","Simple[NNP] Board[NNP] Games[NNPS] :[:] Candy[NNP] Land[NNP] ,[,] Chutes[NNP] and[CC] Ladders[NNP] ,[,] matching[VBG] games[NNS] .[.]","simple board game : candy land , chute and ladder , match game ."
74,LEGO Duplo/Large LEGO Sets: Themed sets related to their interests.,LEGO[NNP] Duplo/Large[NNP] LEGO[NNP] Sets[VBZ] :[:] Themed[VBN] sets[NNS] related[VBN] to[TO] their[PRP$] interests[NNS] .[.],lego duplo/large lego set : theme set relate to their interest .
75,"Vehicle Sets: Toy cars, trucks, trains, play garages.","Vehicle[NNP] Sets[NNS] :[:] Toy[NNP] cars[NNS] ,[,] trucks[NNS] ,[,] trains[NNS] ,[,] play[NN] garages[NNS] .[.]","vehicle set : toy car , truck , train , play garage ."
76,Outdoor Gear: Scooter (with helmet!,Outdoor[JJ] Gear[NNP] :[:] Scooter[NN] ([(] with[IN] helmet[NN] ![.],outdoor gear : scooter ( with helmet !
77,"), tricycle, chalk.",")[)] ,[,] tricycle[NN] ,[,] chalk[NN] .[.]",") , tricycle , chalk ."
78,"D. Young Kids (6-9 years):
Focus: Developing hobbies, independent play, learning challenges, social games.","D.[NNP] Young[NNP] Kids[NNP] ([(] 6-9[CD] years[NNS] )[)] :[:] Focus[NN] :[:] Developing[VBG] hobbies[NNS] ,[,] independent[JJ] play[NN] ,[,] learning[VBG] challenges[NNS] ,[,] social[JJ] games[NNS] .[.]","d. young kid ( 6-9 year ) : focus : developing hobby , independent play , learn challenge , social game ."
79,"Ideas:
LEGO Sets: More complex themed sets (Star Wars, City, Friends).","Ideas[NNS] :[:] LEGO[NNP] Sets[VBZ] :[:] More[RBR] complex[JJ] themed[VBN] sets[NNS] ([(] Star[NNP] Wars[NNP] ,[,] City[NNP] ,[,] Friends[NNP] )[)] .[.]","idea : lego set : more complex theme set ( star war , city , friend ) ."
80,"Craft Kits: Friendship bracelet making, painting kits, science kits, slime kits.","Craft[NN] Kits[NNS] :[:] Friendship[NNP] bracelet[NN] making[NN] ,[,] painting[VBG] kits[NNS] ,[,] science[NN] kits[NNS] ,[,] slime[JJ] kits[NNS] .[.]","craft kit : friendship bracelet making , paint kit , science kit , slime kit ."
81,"Chapter Books/Series: Harry Potter, Magic Tree House, Dog Man, graphic novels.","Chapter[NN] Books/Series[NNS] :[:] Harry[NNP] Potter[NNP] ,[,] Magic[NNP] Tree[NNP] House[NNP] ,[,] Dog[NNP] Man[NNP] ,[,] graphic[JJ] novels[NNS] .[.]","chapter books/series : harry potter , magic tree house , dog man , graphic novel ."
82,"Board Games: Ticket to Ride First Journey, Exploding Kittens, Sushi Go!, classic games.","Board[NNP] Games[NNPS] :[:] Ticket[NN] to[TO] Ride[NNP] First[NNP] Journey[NNP] ,[,] Exploding[NNP] Kittens[NNP] ,[,] Sushi[NNP] Go[NNP] ![.] ,[,] classic[JJ] games[NNS] .[.]","board game : ticket to ride first journey , explode kitten , sushi go ! , classic game ."
83,"Outdoor Sports Equipment: Soccer ball, basketball, jump rope, roller skates.","Outdoor[NNP] Sports[NNP] Equipment[NN] :[:] Soccer[NNP] ball[NN] ,[,] basketball[NN] ,[,] jump[NN] rope[NN] ,[,] roller[NN] skates[NNS] .[.]","outdoor sport equipment : soccer ball , basketball , jump rope , roller skate ."
84,Puzzles: 100-500 piece jigsaw puzzles.,Puzzles[NNS] :[:] 100-500[JJ] piece[NN] jigsaw[NN] puzzles[NNS] .[.],puzzle : 100-500 piece jigsaw puzzle .
85,Walkie-Talkies: For backyard adventures.,Walkie-Talkies[NNS] :[:] For[IN] backyard[NN] adventures[NNS] .[.],walkie-talkie : for backyard adventure .
86,"Subscription Boxes: (e.g., for crafts, science, books)
E. Pre-Teens (10-12 years):
Focus: Emerging interests, tech, personal style, social connection, more complex challenges.","Subscription[NN] Boxes[NNS] :[:] ([(] e.g.[UH] ,[,] for[IN] crafts[NNS] ,[,] science[NN] ,[,] books[NNS] )[)] E.[NNP] Pre-Teens[NNP] ([(] 10-12[CD] years[NNS] )[)] :[:] Focus[NN] :[:] Emerging[NN] interests[NNS] ,[,] tech[NN] ,[,] personal[JJ] style[NN] ,[,] social[JJ] connection[NN] ,[,] more[RBR] complex[JJ] challenges[NNS] .[.]","subscription box : ( e.g. , for craft , science , book ) e. pre-teens ( 10-12 year ) : focus : emerging interest , tech , personal style , social connection , more complex challenge ."
87,"Ideas:
Advanced LEGO/Model Kits: Architecture, Technic, intricate models.","Ideas[NNS] :[:] Advanced[NNP] LEGO/Model[NNP] Kits[VBZ] :[:] Architecture[NN] ,[,] Technic[NNP] ,[,] intricate[JJ] models[NNS] .[.]","idea : advanced lego/model kit : architecture , technic , intricate model ."
88,Video Games/Accessories: (Always check with parents first for console and game appropriateness).,Video[NNP] Games/Accessories[NNS] :[:] ([(] Always[NNP] check[VB] with[IN] parents[NNS] first[RB] for[IN] console[NN] and[CC] game[NN] appropriateness[NN] )[)] .[.],video games/accessories : ( always check with parent first for console and game appropriateness ) .
89,"Books: Popular YA series, graphic novels, non-fiction related to their interests.","Books[NNS] :[:] Popular[NNP] YA[NNP] series[NN] ,[,] graphic[JJ] novels[NNS] ,[,] non-fiction[NN] related[VBN] to[TO] their[PRP$] interests[NNS] .[.]","book : popular ya series , graphic novel , non-fiction relate to their interest ."
90,"Headphones: Good quality, comfortable ones.","Headphones[NNS] :[:] Good[JJ] quality[NN] ,[,] comfortable[JJ] ones[NNS] .[.]","headphone : good quality , comfortable one ."
91,"Personalized Items: Phone case, water bottle, backpack tag.","Personalized[VBN] Items[NNS] :[:] Phone[NNP] case[NN] ,[,] water[NN] bottle[NN] ,[,] backpack[NN] tag[NN] .[.]","personalize item : phone case , water bottle , backpack tag ."
92,"Room Decor: String lights, posters, fun throw pillows.","Room[NNP] Decor[NNP] :[:] String[VBG] lights[NNS] ,[,] posters[NNS] ,[,] fun[NN] throw[NN] pillows[NNS] .[.]","room decor : string light , poster , fun throw pillow ."
93,"Fashion Accessories: Fun socks, beanies, jewelry.","Fashion[NN] Accessories[NNS] :[:] Fun[NN] socks[NNS] ,[,] beanies[NNS] ,[,] jewelry[NN] .[.]","fashion accessory : fun sock , beany , jewelry ."
94,"Gift Cards: To their favorite clothing store, book store, game store, or movie theater.","Gift[NN] Cards[NNS] :[:] To[TO] their[PRP$] favorite[JJ] clothing[NN] store[NN] ,[,] book[NN] store[NN] ,[,] game[NN] store[NN] ,[,] or[CC] movie[NN] theater[NN] .[.]","gift card : to their favorite clothing store , book store , game store , or movie theater ."
95,"Experience Gifts: Escape room, tickets to a show, mini-golf outing.","Experience[NN] Gifts[NNS] :[:] Escape[NN] room[NN] ,[,] tickets[NNS] to[TO] a[DT] show[NN] ,[,] mini-golf[JJ] outing[NN] .[.]","experience gift : escape room , ticket to a show , mini-golf outing ."
96,"F. Teens/Young Adults (13+ years):
Focus: Independence, specific passions, future-oriented, practical yet cool.","F.[NNP] Teens/Young[NNP] Adults[NNP] ([(] 13+[CD] years[NNS] )[)] :[:] Focus[NN] :[:] Independence[NN] ,[,] specific[JJ] passions[NNS] ,[,] future-oriented[JJ] ,[,] practical[JJ] yet[RB] cool[VBP] .[.]","f. teens/young adult ( 13+ year ) : focus : independence , specific passion , future-oriented , practical yet cool ."
97,"Ideas:
High-Quality Headphones/Earbuds: A popular and often used item.",Ideas[NNS] :[:] High-Quality[NN] Headphones/Earbuds[NNP] :[:] A[DT] popular[JJ] and[CC] often[RB] used[JJ] item[NN] .[.],idea : high-quality headphones/earbuds : a popular and often used item .
98,"Tech Accessories: Portable charger, smart device stand, gaming accessories.","Tech[NN] Accessories[NNS] :[:] Portable[JJ] charger[NN] ,[,] smart[JJ] device[NN] stand[NN] ,[,] gaming[VBG] accessories[NNS] .[.]","tech accessory : portable charger , smart device stand , game accessory ."
99,"Books: Bestsellers, non-fiction aligned with their college/career interests, specific authors.","Books[NNS] :[:] Bestsellers[NNS] ,[,] non-fiction[NN] aligned[VBN] with[IN] their[PRP$] college/career[NN] interests[NNS] ,[,] specific[JJ] authors[NNS] .[.]","book : bestseller , non-fiction align with their college/career interest , specific author ."
100,"Specialty Items for Hobbies: High-quality art supplies, musical instrument accessories, sports gear, unique collectibles.","Specialty[NN] Items[VBZ] for[IN] Hobbies[NNS] :[:] High-quality[NNP] art[NN] supplies[NNS] ,[,] musical[JJ] instrument[NN] accessories[NNS] ,[,] sports[NNS] gear[VBP] ,[,] unique[JJ] collectibles[NNS] .[.]","specialty item for hobby : high-quality art supply , musical instrument accessory , sport gear , unique collectible ."
101,"Concert/Event Tickets: To see their favorite band, a sports team, or a play.","Concert/Event[JJ] Tickets[NNS] :[:] To[TO] see[VB] their[PRP$] favorite[JJ] band[NN] ,[,] a[DT] sports[NNS] team[NN] ,[,] or[CC] a[DT] play[NN] .[.]","concert/event ticket : to see their favorite band , a sport team , or a play ."
102,"Clothing/Shoes: Gift cards are often best here due to personal style preferences, or a specific item they've asked for.","Clothing/Shoes[NNS] :[:] Gift[NN] cards[NNS] are[VBP] often[RB] best[RB] here[RB] due[JJ] to[TO] personal[JJ] style[NN] preferences[NNS] ,[,] or[CC] a[DT] specific[JJ] item[NN] they[PRP] 've[VBP] asked[VBN] for[IN] .[.]","clothing/shoes : gift card be often best here due to personal style preference , or a specific item they 've ask for ."
103,"Gourmet Food/Drink: Specialty coffee, teas, unique snacks, nice water bottle/travel mug.","Gourmet[NNP] Food/Drink[NNP] :[:] Specialty[NN] coffee[NN] ,[,] teas[NNS] ,[,] unique[JJ] snacks[NNS] ,[,] nice[JJ] water[NN] bottle/travel[NN] mug[NN] .[.]","gourmet food/drink : specialty coffee , tea , unique snack , nice water bottle/travel mug ."
104,"Practical Gifts for Future: Small items for a dorm room or first apartment (mini toolkit, good quality blanket, coffee maker).","Practical[JJ] Gifts[NNP] for[IN] Future[NNP] :[:] Small[JJ] items[NNS] for[IN] a[DT] dorm[NN] room[NN] or[CC] first[JJ] apartment[NN] ([(] mini[JJ] toolkit[NN] ,[,] good[JJ] quality[NN] blanket[NN] ,[,] coffee[NN] maker[NN] )[)] .[.]","practical gift for future : small item for a dorm room or first apartment ( mini toolkit , good quality blanket , coffee maker ) ."
105,"Money: Can be delivered creatively (e.g., tucked into a book, in a fun box).","Money[NN] :[:] Can[MD] be[VB] delivered[VBN] creatively[RB] ([(] e.g.[UH] ,[,] tucked[VBD] into[IN] a[DT] book[NN] ,[,] in[IN] a[DT] fun[NN] box[NN] )[)] .[.]","money : can be deliver creatively ( e.g. , tuck into a book , in a fun box ) ."
106,"Experience Gifts: Cooking class, driving experience, spa day, concert tickets.","Experience[NN] Gifts[NNS] :[:] Cooking[NNP] class[NN] ,[,] driving[VBG] experience[NN] ,[,] spa[JJ] day[NN] ,[,] concert[JJ] tickets[NNS] .[.]","experience gift : cooking class , drive experience , spa day , concert ticket ."
107,"Gift Cards: To Amazon, their favorite restaurant, coffee shop, or online store.","Gift[NN] Cards[NNS] :[:] To[TO] Amazon[NNP] ,[,] their[PRP$] favorite[JJ] restaurant[NN] ,[,] coffee[NN] shop[NN] ,[,] or[CC] online[JJ] store[NN] .[.]","gift card : to amazon , their favorite restaurant , coffee shop , or online store ."
