Index,Sentence_index,Sentence,POS_Tagged_Tokens,Lemmas
363,36,"A gift certificate for an activity like bowling, mini-golf, rock climbing, or an escape room.",a[DT],a
364,36,,gift[NN],gift
365,36,,certificate[NN],certificate
366,36,,for[IN],for
367,36,,an[DT],an
368,36,,activity[NN],activity
369,36,,like[IN],like
370,36,,bowling[NN],bowling
371,36,,",[,]",","
372,36,,mini-golf[NN],mini-golf
373,36,,",[,]",","
374,36,,rock[NN],rock
375,36,,climbing[NN],climbing
376,36,,",[,]",","
377,36,,or[CC],or
378,36,,an[DT],an
379,36,,escape[NN],escape
380,36,,room[NN],room
381,36,,.[.],.
382,37,"A cooking class, art workshop, or music lesson.",a[DT],a
383,37,,cooking[JJ],cooking
384,37,,class[NN],class
385,37,,",[,]",","
386,37,,art[NN],art
387,37,,workshop[NN],workshop
388,37,,",[,]",","
389,37,,or[CC],or
390,37,,music[NN],music
391,37,,lesson[NN],lesson
392,37,,.[.],.
393,38,"A ""date"" with you (you pay for dinner and an activity).",a[DT],a
394,38,,``[``],``
395,38,,date[NN],date
396,38,,''[''],''
397,38,,with[IN],with
398,38,,you[PRP],you
399,38,,([(],(
400,38,,you[PRP],you
401,38,,pay[VBP],pay
402,38,,for[IN],for
403,38,,dinner[NN],dinner
404,38,,and[CC],and
405,38,,an[DT],an
406,38,,activity[NN],activity
407,38,,)[)],)
408,38,,.[.],.
409,39,6.,6[CD],6
410,39,,.[.],.
411,40,Consumables:,consumables[NNS],consumables
412,40,,:[:],:
413,41,Specialty snacks or candy (especially for teens).,specialty[NN],specialty
414,41,,snacks[NNS],snack
415,41,,or[CC],or
416,41,,candy[NN],candy
417,41,,([(],(
418,41,,especially[RB],especially
419,41,,for[IN],for
420,41,,teens[NNS],teen
421,41,,)[)],)
422,41,,.[.],.
423,42,High-quality art supplies (if they're creative).,high-quality[JJ],high-quality
424,42,,art[NN],art
425,42,,supplies[NNS],supply
426,42,,([(],(
427,42,,if[IN],if
428,42,,they[PRP],they
429,42,,'re[VBP],'re
430,42,,creative[JJ],creative
431,42,,)[)],)
432,42,,.[.],.
433,43,"Bath bombs, nice soaps (for older kids).",bath[NN],bath
434,43,,bombs[NN],bomb
435,43,,",[,]",","
436,43,,nice[JJ],nice
437,43,,soaps[NNS],soap
438,43,,([(],(
439,43,,for[IN],for
440,43,,older[JJR],old
441,43,,kids[NNS],kid
442,43,,)[)],)
443,43,,.[.],.
444,44,Magazines or subscription boxes tailored to their interests.,magazines[NNS],magazine
445,44,,or[CC],or
446,44,,subscription[NN],subscription
447,44,,boxes[NNS],box
448,44,,tailored[VBD],tailor
449,44,,to[TO],to
450,44,,their[PRP$],their
451,44,,interests[NNS],interest
452,44,,.[.],.
453,45,7.,7[CD],7
454,45,,.[.],.
455,46,"Quality Over Quantity: One thoughtful, well-chosen gift is often better than several mediocre ones.",quality[NN],quality
456,46,,over[IN],over
457,46,,quantity[NN],quantity
458,46,,:[:],:
459,46,,one[CD],one
460,46,,thoughtful[NN],thoughtful
461,46,,",[,]",","
462,46,,well-chosen[JJ],well-chosen
463,46,,gift[NN],gift
464,46,,is[VBZ],be
465,46,,often[RB],often
466,46,,better[JJR],good
467,46,,than[IN],than
468,46,,several[JJ],several
469,46,,mediocre[JJ],mediocre
470,46,,ones[NNS],one
471,46,,.[.],.
472,47,8.,8[CD],8
473,47,,.[.],.
474,48,"Group Gifts: If you have many nieces and nephews, or if there's a big-ticket item the whole family could enjoy, consider pooling resources with other family members.",group[NN],group
475,48,,gifts[NNS],gift
476,48,,:[:],:
477,48,,if[IN],if
478,48,,you[PRP],you
479,48,,have[VBP],have
480,48,,many[JJ],many
481,48,,nieces[NNS],niece
482,48,,and[CC],and
483,48,,nephews[NNS],nephew
484,48,,",[,]",","
485,48,,or[CC],or
486,48,,if[IN],if
487,48,,there[EX],there
488,48,,'s[VBZ],'s
489,48,,a[DT],a
490,48,,big-ticket[JJ],big-ticket
491,48,,item[NN],item
492,48,,the[DT],the
493,48,,whole[JJ],whole
494,48,,family[NN],family
495,48,,could[MD],could
496,48,,enjoy[VB],enjoy
497,48,,",[,]",","
498,48,,consider[VB],consider
499,48,,pooling[VBG],pool
500,48,,resources[NNS],resource
501,48,,with[IN],with
502,48,,other[JJ],other
503,48,,family[NN],family
504,48,,members[NNS],member
505,48,,.[.],.
506,49,9.,9[CD],9
507,49,,.[.],.
508,50,"Gift Receipts: Always include one, just in case!",gift[NN],gift
509,50,,receipts[NNS],receipt
510,50,,:[:],:
511,50,,always[RB],always
512,50,,include[VBP],include
513,50,,one[CD],one
514,50,,",[,]",","
515,50,,just[RB],just
516,50,,in[IN],in
517,50,,case[NN],case
518,50,,![.],!
519,51,II.,ii[NN],ii
520,51,,.[.],.
521,52,Age-Specific Ideas:,age-specific[JJ],age-specific
522,52,,ideas[NNS],idea
523,52,,:[:],:
524,53,A.,a[DT],a
525,53,,.[.],.
526,54,Babies (0-12 months):,babies[NNS],baby
527,54,,([(],(
528,54,,0-12[JJ],0-12
529,54,,months[NNS],month
530,54,,)[)],)
531,54,,:[:],:
532,55,"Focus: Sensory stimulation, developmental milestones, practical help for parents.",focus[NN],focus
533,55,,:[:],:
534,55,,sensory[JJ],sensory
535,55,,stimulation[NN],stimulation
536,55,,",[,]",","
537,55,,developmental[JJ],developmental
538,55,,milestones[NNS],milestone
539,55,,",[,]",","
540,55,,practical[JJ],practical
541,55,,help[NN],help
542,55,,for[IN],for
543,55,,parents[NNS],parent
544,55,,.[.],.
545,56,Ideas:,ideas[NNS],idea
546,56,,:[:],:
547,57,"Board Books: Durable, colorful, and never too early to start reading!",board[NN],board
548,57,,books[NNS],book
549,57,,:[:],:
550,57,,durable[JJ],durable
551,57,,",[,]",","
552,57,,colorful[JJ],colorful
553,57,,",[,]",","
554,57,,and[CC],and
555,57,,never[RB],never
556,57,,too[RB],too
557,57,,early[JJ],early
558,57,,to[TO],to
559,57,,start[VB],start
560,57,,reading[NN],reading
561,57,,![.],!
562,58,"Soft Toys: Rattles, crinkly toys, soft blocks.",soft[JJ],soft
563,58,,toys[NNS],toy
564,58,,:[:],:
565,58,,rattles[NNS],rattle
566,58,,",[,]",","
567,58,,crinkly[JJ],crinkly
568,58,,toys[NN],toy
569,58,,",[,]",","
570,58,,soft[JJ],soft
571,58,,blocks[NNS],block
572,58,,.[.],.
573,59,"Sensory Play Mats: With different textures, mirrors, and dangling toys.",sensory[JJ],sensory
574,59,,play[NN],play
575,59,,mats[NNS],mat
576,59,,:[:],:
577,59,,with[IN],with
578,59,,different[JJ],different
579,59,,textures[NNS],texture
580,59,,",[,]",","
581,59,,mirrors[NNS],mirror
582,59,,",[,]",","
583,59,,and[CC],and
584,59,,dangling[VBG],dangle
585,59,,toys[NNS],toy
586,59,,.[.],.
587,60,Teething Toys: Safe and soothing.,teething[VBG],teethe
588,60,,toys[NNS],toy
589,60,,:[:],:
590,60,,safe[JJ],safe
591,60,,and[CC],and
592,60,,soothing[VBG],soothe
593,60,,.[.],.
594,61,"Clothes: Always useful, but size up!",clothes[NNS],clothes
595,61,,:[:],:
596,61,,always[RB],always
597,61,,useful[JJ],useful
598,61,,",[,]",","
599,61,,but[CC],but
600,61,,size[NN],size
601,61,,up[RB],up
602,61,,![.],!
603,62,"(e.g., buy 6-12 months for a 3-month-old).",([(],(
604,62,,e.g.[NN],e.g.
605,62,,",[,]",","
606,62,,buy[VB],buy
607,62,,6-12[JJ],6-12
608,62,,months[NNS],month
609,62,,for[IN],for
610,62,,a[DT],a
611,62,,3-month-old[JJ],3-month-old
612,62,,)[)],)
613,62,,.[.],.
614,63,Practical Gifts (Ask Parents First!,practical[JJ],practical
615,63,,gifts[NNS],gift
616,63,,([(],(
617,63,,ask[VB],ask
618,63,,parents[NNS],parent
619,63,,first[RB],first
620,63,,![.],!
621,64,): Diapers (often welcome!,)[)],)
622,64,,:[:],:
623,64,,diapers[NNS],diaper
624,64,,([(],(
625,64,,often[RB],often
626,64,,welcome[VBP],welcome
627,64,,![.],!
628,65,"), wipes, baby-safe lotion, baby food subscription.",)[)],)
629,65,,",[,]",","
630,65,,wipes[NNS],wipe
631,65,,",[,]",","
632,65,,baby-safe[JJ],baby-safe
633,65,,lotion[NN],lotion
634,65,,",[,]",","
635,65,,baby[NN],baby
636,65,,food[NN],food
637,65,,subscription[NN],subscription
638,65,,.[.],.
639,66,"Memory Gifts: A personalized ornament, a framed photo session certificate.",memory[NN],memory
640,66,,gifts[NNS],gift
641,66,,:[:],:
642,66,,a[DT],a
643,66,,personalized[JJ],personalized
644,66,,ornament[NN],ornament
645,66,,",[,]",","
646,66,,a[DT],a
647,66,,framed[JJ],framed
648,66,,photo[NN],photo
649,66,,session[NN],session
650,66,,certificate[NN],certificate
651,66,,.[.],.
652,67,B.,b[NN],b
653,67,,.[.],.
654,68,Toddlers (1-3 years):,toddlers[NNS],toddler
655,68,,([(],(
656,68,,1-3[CD],1-3
657,68,,years[NNS],year
658,68,,)[)],)
659,68,,:[:],:
660,69,"Focus: Exploration, gross motor skills, imaginative play, safety.",focus[NN],focus
661,69,,:[:],:
662,69,,exploration[NN],exploration
663,69,,",[,]",","
664,69,,gross[JJ],gross
665,69,,motor[NN],motor
666,69,,skills[NNS],skill
667,69,,",[,]",","
668,69,,imaginative[JJ],imaginative
669,69,,play[NN],play
670,69,,",[,]",","
671,69,,safety[NN],safety
672,69,,.[.],.
673,70,Ideas:,ideas[NNS],idea
674,70,,:[:],:
675,71,"Building Blocks: Large blocks like Duplo, wooden blocks.",building[NN],building
676,71,,blocks[NNS],block
677,71,,:[:],:
678,71,,large[JJ],large
679,71,,blocks[NNS],block
680,71,,like[IN],like
681,71,,duplo[NN],duplo
682,71,,",[,]",","
683,71,,wooden[JJ],wooden
684,71,,blocks[NNS],block
685,71,,.[.],.
686,72,"Push-and-Pull Toys: Wagons, toy animals on a string.",push-and-pull[JJ],push-and-pull
687,72,,toys[NNS],toy
688,72,,:[:],:
689,72,,wagons[NNS],wagon
690,72,,",[,]",","
691,72,,toy[NN],toy
692,72,,animals[NNS],animal
693,72,,on[IN],on
694,72,,a[DT],a
695,72,,string[NN],string
696,72,,.[.],.
697,73,"Simple Puzzles: Chunky wooden puzzles, shape sorters.",simple[JJ],simple
698,73,,puzzles[NNS],puzzle
699,73,,:[:],:
700,73,,chunky[NN],chunky
701,73,,wooden[NN],wooden
702,73,,puzzles[NNS],puzzle
703,73,,",[,]",","
704,73,,shape[NN],shape
705,73,,sorters[NNS],sorter
706,73,,.[.],.
707,74,"Musical Instruments: Toy piano, drum, shakers.",musical[JJ],musical
708,74,,instruments[NNS],instrument
709,74,,:[:],:
710,74,,toy[NN],toy
711,74,,piano[NN],piano
712,74,,",[,]",","
713,74,,drum[NN],drum
714,74,,",[,]",","
715,74,,shakers[NNS],shaker
716,74,,.[.],.
717,75,Sturdy Picture Books: Engaging stories with bright illustrations.,sturdy[JJ],sturdy
718,75,,picture[NN],picture
719,75,,books[NNS],book
720,75,,:[:],:
721,75,,engaging[VBG],engage
722,75,,stories[NNS],story
723,75,,with[IN],with
724,75,,bright[JJ],bright
725,75,,illustrations[NNS],illustration
726,75,,.[.],.
727,76,"Art Supplies: Chunky crayons, washable paints, large paper.",art[NN],art
728,76,,supplies[NNS],supply
729,76,,:[:],:
730,76,,chunky[NN],chunky
731,76,,crayons[NNS],crayon
732,76,,",[,]",","
733,76,,washable[JJ],washable
734,76,,paints[NNS],paint
735,76,,",[,]",","
736,76,,large[JJ],large
737,76,,paper[NN],paper
738,76,,.[.],.
739,77,"Outdoor Toys: Small slide, sandbox, water table (if they have space).",outdoor[JJ],outdoor
740,77,,toys[NNS],toy
741,77,,:[:],:
742,77,,small[JJ],small
743,77,,slide[NN],slide
744,77,,",[,]",","
745,77,,sandbox[NN],sandbox
746,77,,",[,]",","
747,77,,water[NN],water
748,77,,table[NN],table
749,77,,([(],(
750,77,,if[IN],if
751,77,,they[PRP],they
752,77,,have[VBP],have
753,77,,space[NN],space
754,77,,)[)],)
755,77,,.[.],.
756,78,"Dress-Up Clothes: Simple hats, animal ears, capes.",dress-up[JJ],dress-up
757,78,,clothes[NNS],clothes
758,78,,:[:],:
759,78,,simple[JJ],simple
760,78,,hats[NNS],hat
761,78,,",[,]",","
762,78,,animal[JJ],animal
763,78,,ears[NNS],ear
764,78,,",[,]",","
765,78,,capes[NNS],cape
766,78,,.[.],.
767,79,C. Preschoolers (3-5 years):,c.[NN],c.
768,79,,preschoolers[NNS],preschooler
769,79,,([(],(
770,79,,3-5[CD],3-5
771,79,,years[NNS],year
772,79,,)[)],)
773,79,,:[:],:
774,80,"Focus: Imagination, role-playing, fine motor skills, learning through play.",focus[NN],focus
775,80,,:[:],:
776,80,,imagination[NN],imagination
777,80,,",[,]",","
778,80,,role-playing[NN],role-playing
779,80,,",[,]",","
780,80,,fine[JJ],fine
781,80,,motor[NN],motor
782,80,,skills[NNS],skill
783,80,,",[,]",","
784,80,,learning[VBG],learn
785,80,,through[IN],through
786,80,,play[NN],play
787,80,,.[.],.
788,81,Ideas:,ideas[NNS],idea
789,81,,:[:],:
790,82,"Dress-Up Clothes: More elaborate costumes (superheroes, princesses, doctors).",dress-up[JJ],dress-up
791,82,,clothes[NNS],clothes
792,82,,:[:],:
793,82,,more[RBR],more
794,82,,elaborate[JJ],elaborate
795,82,,costumes[NNS],costume
796,82,,([(],(
797,82,,superheroes[NNS],superheroes
798,82,,",[,]",","
799,82,,princesses[NNS],princess
800,82,,",[,]",","
801,82,,doctors[NNS],doctor
802,82,,)[)],)
803,82,,.[.],.
804,83,Play-Doh/Kinetic Sand: With tools and molds.,play-doh/kinetic[JJ],play-doh/kinetic
805,83,,sand[NN],sand
806,83,,:[:],:
807,83,,with[IN],with
808,83,,tools[NNS],tool
809,83,,and[CC],and
810,83,,molds[NNS],mold
811,83,,.[.],.
812,84,"Art Easel & Supplies: With chalk, dry-erase markers, paints.",art[NN],art
813,84,,easel[NN],easel
814,84,,&[CC],&
815,84,,supplies[NNS],supply
816,84,,:[:],:
817,84,,with[IN],with
818,84,,chalk[NN],chalk
819,84,,",[,]",","
820,84,,dry-erase[JJ],dry-erase
821,84,,markers[NNS],marker
822,84,,",[,]",","
823,84,,paints[NNS],paint
824,84,,.[.],.
825,85,"Picture Books/Early Readers: Engaging stories, popular characters.",picture[NN],picture
826,85,,books/early[JJ],books/early
827,85,,readers[NNS],reader
828,85,,:[:],:
829,85,,engaging[VBG],engage
830,85,,stories[NNS],story
831,85,,",[,]",","
832,85,,popular[JJ],popular
833,85,,characters[NNS],character
834,85,,.[.],.
835,86,"Simple Board Games: Candy Land, Chutes and Ladders, matching games.",simple[JJ],simple
836,86,,board[NN],board
837,86,,games[NNS],game
838,86,,:[:],:
839,86,,candy[NN],candy
840,86,,land[NN],land
841,86,,",[,]",","
842,86,,chutes[NNS],chute
843,86,,and[CC],and
844,86,,ladders[NNS],ladder
845,86,,",[,]",","
846,86,,matching[VBG],match
847,86,,games[NNS],game
848,86,,.[.],.
849,87,LEGO Duplo/Large LEGO Sets: Themed sets related to their interests.,lego[NN],lego
850,87,,duplo/large[NN],duplo/large
851,87,,lego[JJ],lego
852,87,,sets[NNS],set
853,87,,:[:],:
854,87,,themed[VBN],theme
855,87,,sets[NNS],set
856,87,,related[VBN],relate
857,87,,to[TO],to
858,87,,their[PRP$],their
859,87,,interests[NNS],interest
860,87,,.[.],.
861,88,"Vehicle Sets: Toy cars, trucks, trains, play garages.",vehicle[NN],vehicle
862,88,,sets[NNS],set
863,88,,:[:],:
864,88,,toy[NN],toy
865,88,,cars[NNS],car
866,88,,",[,]",","
867,88,,trucks[NNS],truck
868,88,,",[,]",","
869,88,,trains[NNS],train
870,88,,",[,]",","
871,88,,play[NN],play
872,88,,garages[NNS],garage
873,88,,.[.],.
874,89,Outdoor Gear: Scooter (with helmet!,outdoor[JJ],outdoor
875,89,,gear[NN],gear
876,89,,:[:],:
877,89,,scooter[NN],scooter
878,89,,([(],(
879,89,,with[IN],with
880,89,,helmet[NN],helmet
881,89,,![.],!
882,90,"), tricycle, chalk.",)[)],)
883,90,,",[,]",","
884,90,,tricycle[NN],tricycle
885,90,,",[,]",","
886,90,,chalk[NN],chalk
887,90,,.[.],.
888,91,D. Young Kids (6-9 years):,d.[NN],d.
889,91,,young[JJ],young
890,91,,kids[NNS],kid
891,91,,([(],(
892,91,,6-9[CD],6-9
893,91,,years[NNS],year
894,91,,)[)],)
895,91,,:[:],:
896,92,"Focus: Developing hobbies, independent play, learning challenges, social games.",focus[NN],focus
897,92,,:[:],:
898,92,,developing[NN],developing
899,92,,hobbies[NNS],hobby
900,92,,",[,]",","
901,92,,independent[JJ],independent
902,92,,play[NN],play
903,92,,",[,]",","
904,92,,learning[VBG],learn
905,92,,challenges[NNS],challenge
906,92,,",[,]",","
907,92,,social[JJ],social
908,92,,games[NNS],game
909,92,,.[.],.
910,93,Ideas:,ideas[NNS],idea
911,93,,:[:],:
912,94,"LEGO Sets: More complex themed sets (Star Wars, City, Friends).",lego[JJ],lego
913,94,,sets[NNS],set
914,94,,:[:],:
915,94,,more[RBR],more
916,94,,complex[JJ],complex
